2025-12-11 10:13:59 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-11 10:13:59 | INFO | auth | Authentication successful
2025-12-11 10:13:59 | INFO | main | Authentication successful. Starting bot...
2025-12-11 10:13:59 | INFO | main | Using watchlist: ['TATASTEEL', 'WIPRO']
2025-12-11 10:13:59 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATASTEEL', 'WIPRO']
2025-12-11 10:13:59 | INFO | data_feed | Fetching instrument master data for 2 symbols...
2025-12-11 10:13:59 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-11 10:13:59 | INFO | data_feed | Resolved 4 instrument tokens
2025-12-11 10:13:59 | INFO | main | Data feed started. Bot is now running...
2025-12-11 10:13:59 | INFO | decision_engine | Decision engine started. Waiting for market data...
2025-12-11 10:13:59 | INFO | decision_engine | Market hours: 09:15:00 to 15:30:00
2025-12-11 10:13:59 | INFO | decision_engine | Monitoring symbols: ['TATASTEEL', 'WIPRO']
2025-12-11 10:13:59 | INFO | decision_engine | Minimum spread threshold: ₹0.30
2025-12-11 10:13:59 | INFO | decision_engine | Heartbeat loop started
2025-12-11 10:13:59 | INFO | live | Monitoring... (waiting for data)
2025-12-11 10:14:00 | INFO | data_feed | WebSocket connected. Subscribing to 4 instruments
2025-12-11 10:14:00 | INFO | data_feed | Subscription details: correlation_id=arbitrage_bot_001, mode=3
2025-12-11 10:14:00 | INFO | data_feed | Subscription request sent successfully. Waiting for market data...
2025-12-11 10:14:04 | INFO | live | Monitoring... NSE=₹258.58 BSE=₹258.70 Spread=₹0.12
2025-12-11 10:14:09 | INFO | live | Monitoring... NSE=₹164.41 BSE=₹164.50 Spread=₹0.09
2025-12-11 10:14:14 | INFO | live | Monitoring... NSE=₹164.41 BSE=₹164.50 Spread=₹0.09
2025-12-11 10:14:19 | INFO | live | Monitoring... NSE=₹258.82 BSE=₹258.70 Spread=₹0.12
2025-12-11 10:14:24 | INFO | live | Monitoring... NSE=₹164.43 BSE=₹164.50 Spread=₹0.07
2025-12-11 10:14:29 | INFO | live | Monitoring... NSE=₹258.79 BSE=₹258.65 Spread=₹0.14
2025-12-11 10:14:34 | INFO | live | Monitoring... NSE=₹258.83 BSE=₹258.65 Spread=₹0.18
2025-12-11 10:14:39 | INFO | live | Monitoring... NSE=₹164.44 BSE=₹164.50 Spread=₹0.06
2025-12-11 10:14:44 | INFO | live | Monitoring... NSE=₹164.45 BSE=₹164.40 Spread=₹0.05
2025-12-11 10:14:49 | INFO | live | Monitoring... NSE=₹164.45 BSE=₹164.40 Spread=₹0.05
2025-12-11 10:14:54 | INFO | live | Monitoring... NSE=₹258.94 BSE=₹258.90 Spread=₹0.04
2025-12-11 10:15:00 | INFO | live | Monitoring... NSE=₹258.96 BSE=₹258.90 Spread=₹0.06
2025-12-11 10:15:05 | INFO | live | Monitoring... NSE=₹259.20 BSE=₹259.15 Spread=₹0.05
2025-12-11 10:15:10 | INFO | live | Monitoring... NSE=₹164.51 BSE=₹164.50 Spread=₹0.01
2025-12-11 10:15:15 | INFO | live | Monitoring... NSE=₹259.22 BSE=₹259.35 Spread=₹0.13
2025-12-11 10:15:20 | INFO | live | Monitoring... NSE=₹259.11 BSE=₹259.20 Spread=₹0.09
2025-12-11 10:15:25 | INFO | live | Monitoring... NSE=₹164.50 BSE=₹164.60 Spread=₹0.10
2025-12-11 10:15:30 | INFO | live | Monitoring... NSE=₹259.05 BSE=₹259.15 Spread=₹0.10
2025-12-11 10:15:35 | INFO | live | Monitoring... NSE=₹258.97 BSE=₹258.90 Spread=₹0.07
2025-12-11 10:15:40 | INFO | live | Monitoring... NSE=₹259.05 BSE=₹258.90 Spread=₹0.15
2025-12-11 10:15:45 | INFO | live | Monitoring... NSE=₹164.64 BSE=₹164.75 Spread=₹0.11
2025-12-11 10:15:50 | INFO | live | Monitoring... NSE=₹259.09 BSE=₹258.90 Spread=₹0.19
2025-12-11 10:15:55 | INFO | live | Monitoring... NSE=₹259.08 BSE=₹258.90 Spread=₹0.18
2025-12-11 10:16:00 | INFO | live | Monitoring... NSE=₹259.13 BSE=₹258.90 Spread=₹0.23
2025-12-11 10:16:05 | INFO | live | Monitoring... NSE=₹259.07 BSE=₹258.90 Spread=₹0.17
2025-12-11 10:16:10 | INFO | live | Monitoring... NSE=₹259.08 BSE=₹258.90 Spread=₹0.18
2025-12-11 10:16:15 | INFO | live | Monitoring... NSE=₹259.08 BSE=₹258.90 Spread=₹0.18
2025-12-11 10:16:20 | INFO | live | Monitoring... NSE=₹259.08 BSE=₹258.90 Spread=₹0.18
2025-12-11 10:16:25 | INFO | live | Monitoring... NSE=₹259.08 BSE=₹258.90 Spread=₹0.18
2025-12-11 10:16:30 | INFO | live | Monitoring... NSE=₹258.98 BSE=₹258.90 Spread=₹0.08
2025-12-11 10:16:35 | INFO | live | Monitoring... NSE=₹164.88 BSE=₹164.80 Spread=₹0.08
2025-12-11 10:16:40 | INFO | live | Monitoring... NSE=₹258.97 BSE=₹259.05 Spread=₹0.08
2025-12-11 10:16:45 | INFO | live | Monitoring... NSE=₹258.97 BSE=₹258.90 Spread=₹0.07
2025-12-11 10:16:50 | INFO | live | Monitoring... NSE=₹258.96 BSE=₹259.05 Spread=₹0.09
2025-12-11 10:16:55 | INFO | live | Monitoring... NSE=₹258.96 BSE=₹259.05 Spread=₹0.09
2025-12-11 10:17:00 | INFO | live | Monitoring... NSE=₹164.96 BSE=₹164.90 Spread=₹0.06
2025-12-11 10:17:05 | INFO | live | Monitoring... NSE=₹164.95 BSE=₹164.90 Spread=₹0.05
2025-12-11 10:17:10 | INFO | live | Monitoring... NSE=₹258.97 BSE=₹258.90 Spread=₹0.07
2025-12-11 10:17:15 | INFO | live | Monitoring... NSE=₹164.97 BSE=₹164.90 Spread=₹0.07
2025-12-11 10:17:20 | INFO | live | Monitoring... NSE=₹258.91 BSE=₹259.00 Spread=₹0.09
2025-12-11 10:17:25 | INFO | live | Monitoring... NSE=₹258.97 BSE=₹258.90 Spread=₹0.07
2025-12-11 10:17:30 | INFO | live | Monitoring... NSE=₹258.95 BSE=₹259.00 Spread=₹0.05
2025-12-11 10:17:35 | INFO | live | Monitoring... NSE=₹258.91 BSE=₹259.00 Spread=₹0.09
2025-12-11 10:17:40 | INFO | live | Monitoring... NSE=₹164.95 BSE=₹165.00 Spread=₹0.05
2025-12-11 10:17:45 | INFO | live | Monitoring... NSE=₹259.00 BSE=₹258.90 Spread=₹0.10
2025-12-11 10:17:50 | INFO | live | Monitoring... NSE=₹259.10 BSE=₹258.90 Spread=₹0.20
2025-12-11 10:17:55 | INFO | live | Monitoring... NSE=₹259.08 BSE=₹258.95 Spread=₹0.13
2025-12-11 10:18:00 | INFO | live | Monitoring... NSE=₹259.12 BSE=₹258.95 Spread=₹0.17
2025-12-11 10:18:05 | INFO | live | Monitoring... NSE=₹259.15 BSE=₹259.05 Spread=₹0.10
2025-12-11 10:18:10 | INFO | live | Monitoring... NSE=₹164.84 BSE=₹164.75 Spread=₹0.09
2025-12-11 10:18:15 | INFO | live | Monitoring... NSE=₹164.76 BSE=₹164.90 Spread=₹0.14
2025-12-11 10:18:20 | INFO | live | Monitoring... NSE=₹164.84 BSE=₹164.90 Spread=₹0.06
2025-12-11 10:18:25 | INFO | live | Monitoring... NSE=₹164.80 BSE=₹164.90 Spread=₹0.10
2025-12-11 10:18:30 | INFO | live | Monitoring... NSE=₹164.80 BSE=₹164.90 Spread=₹0.10
2025-12-11 10:18:35 | INFO | live | Monitoring... NSE=₹259.31 BSE=₹259.10 Spread=₹0.21
2025-12-11 10:18:40 | INFO | live | Monitoring... NSE=₹259.30 BSE=₹259.10 Spread=₹0.20
2025-12-11 10:18:45 | INFO | live | Monitoring... NSE=₹259.31 BSE=₹259.40 Spread=₹0.09
2025-12-11 10:18:50 | INFO | live | Monitoring... NSE=₹259.31 BSE=₹259.40 Spread=₹0.09
2025-12-11 10:18:55 | INFO | live | Monitoring... NSE=₹164.84 BSE=₹164.70 Spread=₹0.14
2025-12-11 10:19:00 | INFO | live | Monitoring... NSE=₹259.35 BSE=₹259.40 Spread=₹0.05
2025-12-11 10:19:05 | INFO | live | Monitoring... NSE=₹259.32 BSE=₹259.40 Spread=₹0.08
2025-12-11 10:19:10 | INFO | live | Monitoring... NSE=₹164.87 BSE=₹164.80 Spread=₹0.07
2025-12-11 10:19:15 | INFO | live | Monitoring... NSE=₹164.85 BSE=₹164.95 Spread=₹0.10
2025-12-11 10:19:20 | INFO | live | Monitoring... NSE=₹164.85 BSE=₹164.95 Spread=₹0.10
2025-12-11 10:19:25 | INFO | live | Monitoring... NSE=₹164.80 BSE=₹164.95 Spread=₹0.15
2025-12-11 10:19:30 | INFO | live | Monitoring... NSE=₹259.24 BSE=₹259.40 Spread=₹0.16
2025-12-11 10:19:35 | INFO | live | Monitoring... NSE=₹164.82 BSE=₹164.70 Spread=₹0.12
2025-12-11 10:19:40 | INFO | live | Monitoring... NSE=₹259.26 BSE=₹259.40 Spread=₹0.14
2025-12-11 10:19:45 | INFO | live | Monitoring... NSE=₹259.25 BSE=₹259.40 Spread=₹0.15
2025-12-11 10:19:50 | INFO | live | Monitoring... NSE=₹259.24 BSE=₹259.40 Spread=₹0.16
2025-12-11 10:19:55 | INFO | live | Monitoring... NSE=₹259.21 BSE=₹259.35 Spread=₹0.14
2025-12-11 10:20:00 | INFO | live | Monitoring... NSE=₹259.28 BSE=₹259.35 Spread=₹0.07
2025-12-11 10:20:05 | INFO | live | Monitoring... NSE=₹259.30 BSE=₹259.35 Spread=₹0.05
2025-12-11 10:20:10 | INFO | live | Monitoring... NSE=₹259.30 BSE=₹259.40 Spread=₹0.10
2025-12-11 10:20:15 | INFO | live | Monitoring... NSE=₹164.77 BSE=₹164.70 Spread=₹0.07
2025-12-11 10:20:20 | INFO | live | Monitoring... NSE=₹259.33 BSE=₹259.40 Spread=₹0.07
2025-12-11 10:20:25 | INFO | live | Monitoring... NSE=₹164.69 BSE=₹164.80 Spread=₹0.11
2025-12-11 10:20:30 | INFO | live | Monitoring... NSE=₹164.74 BSE=₹164.80 Spread=₹0.06
2025-12-11 10:20:35 | INFO | live | Monitoring... NSE=₹164.70 BSE=₹164.80 Spread=₹0.10
