2025-12-08 09:38:40 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:38:40 | INFO | auth | Authentication successful
2025-12-08 09:38:40 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:38:40 | INFO | data_feed | Starting Angel One WebSocket feed for ['RELIANCE', 'TATAMOTORS', 'ICICIBANK', 'HDFCBANK', 'POWERGRID', 'INFY', 'TCS', 'BPCL', 'TATASTEEL', 'WIPRO']
2025-12-08 09:38:40 | INFO | data_feed | Fetching instrument master data for 10 symbols...
2025-12-08 09:38:40 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:38:40 | INFO | data_feed | Resolved 20 instrument tokens
2025-12-08 09:38:40 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:38:40 | INFO | data_feed | WebSocket connected. Subscribing to 20 instruments
2025-12-08 09:38:45 | INFO | live | Monitoring... NSE=₹261.82 BSE=₹261.65 Spread=₹0.17
2025-12-08 09:38:50 | INFO | live | Monitoring... NSE=₹166.97 BSE=₹166.95 Spread=₹0.02
2025-12-08 09:38:55 | INFO | live | Monitoring... NSE=₹166.95 BSE=₹167.05 Spread=₹0.10
2025-12-08 09:40:26 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:40:27 | INFO | auth | Authentication successful
2025-12-08 09:40:27 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:40:27 | INFO | data_feed | Starting Angel One WebSocket feed for ['RELIANCE', 'TATAMOTORS', 'ICICIBANK', 'HDFCBANK', 'POWERGRID', 'INFY', 'TCS', 'BPCL', 'TATASTEEL', 'WIPRO']
2025-12-08 09:40:27 | INFO | data_feed | Fetching instrument master data for 10 symbols...
2025-12-08 09:40:27 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:40:27 | INFO | data_feed | Resolved 18 instrument tokens
2025-12-08 09:40:27 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:40:27 | INFO | data_feed | WebSocket connected. Subscribing to 18 instruments
2025-12-08 09:40:32 | INFO | live | Monitoring... NSE=₹261.65 BSE=₹261.55 Spread=₹0.10
2025-12-08 09:43:30 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:43:30 | INFO | auth | Authentication successful
2025-12-08 09:43:30 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:43:30 | INFO | data_feed | Starting Angel One WebSocket feed for ['RELIANCE']
2025-12-08 09:43:30 | INFO | data_feed | Fetching instrument master data for 1 symbols...
2025-12-08 09:43:31 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:43:31 | INFO | data_feed | Resolved 2 instrument tokens
2025-12-08 09:43:31 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:43:31 | INFO | data_feed | WebSocket connected. Subscribing to 2 instruments
2025-12-08 09:43:36 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:44:28 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:44:28 | INFO | auth | Authentication successful
2025-12-08 09:44:28 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:44:28 | INFO | data_feed | Starting Angel One WebSocket feed for ['RELIANCE']
2025-12-08 09:44:28 | INFO | data_feed | Fetching instrument master data for 1 symbols...
2025-12-08 09:44:28 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:44:28 | INFO | data_feed | Resolved 2 instrument tokens
2025-12-08 09:44:28 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:44:29 | INFO | data_feed | WebSocket connected. Subscribing to 2 instruments
2025-12-08 09:44:33 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:46:28 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:46:29 | INFO | auth | Authentication successful
2025-12-08 09:46:29 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:46:29 | INFO | data_feed | Starting Angel One WebSocket feed for ['RELIANCE', 'TATAMOTORS']
2025-12-08 09:46:29 | INFO | data_feed | Fetching instrument master data for 2 symbols...
2025-12-08 09:46:29 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:46:29 | INFO | data_feed | Resolved 4 instrument tokens
2025-12-08 09:46:29 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:46:29 | INFO | data_feed | WebSocket connected. Subscribing to 4 instruments
2025-12-08 09:49:41 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:49:42 | INFO | auth | Authentication successful
2025-12-08 09:49:42 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:49:42 | INFO | data_feed | Starting Angel One WebSocket feed for ['RELIANCE', 'TATAMOTORS']
2025-12-08 09:49:42 | INFO | data_feed | Fetching instrument master data for 2 symbols...
2025-12-08 09:49:42 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:49:42 | INFO | data_feed | Resolved 4 instrument tokens
2025-12-08 09:49:42 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:49:42 | INFO | data_feed | WebSocket connected. Subscribing to 4 instruments
2025-12-08 09:50:01 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:50:02 | INFO | auth | Authentication successful
2025-12-08 09:50:02 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:50:02 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATASTEEL']
2025-12-08 09:50:02 | INFO | data_feed | Fetching instrument master data for 1 symbols...
2025-12-08 09:50:02 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:50:02 | ERROR | data_feed | No manual token mappings found. Please add tokens to _manual_token_lookup()
2025-12-08 09:50:02 | ERROR | data_feed | You can find tokens from Angel One instrument search or API
2025-12-08 09:50:02 | WARNING | data_feed | No tokens resolved. WebSocket will not receive data.
2025-12-08 09:50:02 | WARNING | data_feed | Please implement token resolution or provide manual mapping.
2025-12-08 09:50:02 | ERROR | data_feed | No tokens to subscribe to. WebSocket will not receive data.
2025-12-08 09:50:02 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:51:30 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:51:31 | INFO | auth | Authentication successful
2025-12-08 09:51:31 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:51:31 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATASTEEL']
2025-12-08 09:51:31 | INFO | data_feed | Fetching instrument master data for 1 symbols...
2025-12-08 09:51:31 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:51:31 | ERROR | data_feed | No manual token mappings found. Please add tokens to _manual_token_lookup()
2025-12-08 09:51:31 | ERROR | data_feed | You can find tokens from Angel One instrument search or API
2025-12-08 09:51:31 | WARNING | data_feed | No tokens resolved. WebSocket will not receive data.
2025-12-08 09:51:31 | WARNING | data_feed | Please implement token resolution or provide manual mapping.
2025-12-08 09:51:31 | ERROR | data_feed | No tokens to subscribe to. WebSocket will not receive data.
2025-12-08 09:51:31 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:51:56 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:51:57 | INFO | auth | Authentication successful
2025-12-08 09:51:57 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:51:57 | INFO | main | Using watchlist: ['TATASTEEL']
2025-12-08 09:51:57 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATASTEEL']
2025-12-08 09:51:57 | INFO | data_feed | Fetching instrument master data for 1 symbols...
2025-12-08 09:51:57 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:51:57 | ERROR | data_feed | No manual token mappings found. Please add tokens to _manual_token_lookup()
2025-12-08 09:51:57 | ERROR | data_feed | You can find tokens from Angel One instrument search or API
2025-12-08 09:51:57 | WARNING | data_feed | No tokens resolved. WebSocket will not receive data.
2025-12-08 09:51:57 | WARNING | data_feed | Please implement token resolution or provide manual mapping.
2025-12-08 09:51:57 | ERROR | data_feed | No tokens to subscribe to. WebSocket will not receive data.
2025-12-08 09:51:57 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:52:02 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:52:39 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:52:39 | INFO | auth | Authentication successful
2025-12-08 09:52:39 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:52:39 | INFO | main | Using watchlist: ['TATASTEEL', 'SBIN']
2025-12-08 09:52:39 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATASTEEL', 'SBIN']
2025-12-08 09:52:39 | INFO | data_feed | Fetching instrument master data for 2 symbols...
2025-12-08 09:52:39 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:52:39 | ERROR | data_feed | No manual token mappings found. Please add tokens to _manual_token_lookup()
2025-12-08 09:52:39 | ERROR | data_feed | You can find tokens from Angel One instrument search or API
2025-12-08 09:52:39 | WARNING | data_feed | No tokens resolved. WebSocket will not receive data.
2025-12-08 09:52:39 | WARNING | data_feed | Please implement token resolution or provide manual mapping.
2025-12-08 09:52:39 | ERROR | data_feed | No tokens to subscribe to. WebSocket will not receive data.
2025-12-08 09:52:39 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:55:02 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:55:03 | INFO | auth | Authentication successful
2025-12-08 09:55:03 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:55:03 | INFO | main | Using watchlist: ['TATASTEEL', 'SBIN']
2025-12-08 09:55:03 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATASTEEL', 'SBIN']
2025-12-08 09:55:03 | INFO | data_feed | Fetching instrument master data for 2 symbols...
2025-12-08 09:55:03 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:55:03 | INFO | data_feed | Resolved 4 instrument tokens
2025-12-08 09:55:03 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:55:03 | INFO | data_feed | WebSocket connected. Subscribing to 4 instruments
2025-12-08 09:55:08 | INFO | live | Monitoring... NSE=₹965.75 BSE=₹966.20 Spread=₹0.45
2025-12-08 09:55:13 | INFO | live | Monitoring... NSE=₹966.05 BSE=₹966.20 Spread=₹0.15
2025-12-08 09:55:18 | INFO | live | Monitoring... NSE=₹965.75 BSE=₹966.20 Spread=₹0.45
2025-12-08 09:55:23 | INFO | live | Monitoring... NSE=₹966.40 BSE=₹966.20 Spread=₹0.20
2025-12-08 09:55:28 | INFO | live | Monitoring... NSE=₹966.45 BSE=₹966.20 Spread=₹0.25
2025-12-08 09:55:33 | INFO | live | Monitoring... NSE=₹966.10 BSE=₹965.90 Spread=₹0.20
2025-12-08 09:55:50 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:55:51 | INFO | auth | Authentication successful
2025-12-08 09:55:51 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:55:51 | INFO | main | Using watchlist: ['TATASTEEL', 'RELIANCE']
2025-12-08 09:55:51 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATASTEEL', 'RELIANCE']
2025-12-08 09:55:51 | INFO | data_feed | Fetching instrument master data for 2 symbols...
2025-12-08 09:55:51 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-08 09:55:51 | INFO | data_feed | Resolved 4 instrument tokens
2025-12-08 09:55:51 | INFO | live | Monitoring... (waiting for data)
2025-12-08 09:55:52 | INFO | data_feed | WebSocket connected. Subscribing to 4 instruments
2025-12-08 09:55:56 | INFO | live | Monitoring... NSE=₹166.43 BSE=₹166.55 Spread=₹0.12
2025-12-08 09:56:19 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-08 09:56:20 | INFO | auth | Authentication successful
2025-12-08 09:56:20 | INFO | main | Authentication successful. Starting bot...
2025-12-08 09:56:20 | INFO | main | Using watchlist: ['RELIANCE', 'SBIN']
2025-12-08 09:56:20 | INFO | data_feed | Starting Angel One WebSocket feed for ['RELIANCE', 'SBIN']
2025-12-08 09:56:20 | INFO | data_feed | Fetching instrument master data for 2 symbols...
2025-12-08 09:56:20 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
