2025-12-01 12:04:40 | INFO | test | hello log test
2025-12-01 12:07:34 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-01 12:07:34 | INFO | auth | Authentication successful
2025-12-01 12:07:34 | INFO | main | Authentication successful. Starting bot...
2025-12-01 12:07:34 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATAMOTORS', 'ICICIBANK', 'HDFCBANK', 'SBIN', 'POWERGRID', 'INFY', 'TCS', 'BPCL']
2025-12-01 12:07:34 | INFO | data_feed | Fetching instrument master data for 8 symbols...
2025-12-01 12:07:34 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-01 12:07:34 | INFO | data_feed | Resolved 16 instrument tokens
2025-12-01 12:07:34 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:07:35 | INFO | data_feed | WebSocket connected. Subscribing to 16 instruments
2025-12-01 12:07:39 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:07:44 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:07:49 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:07:54 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:07:59 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:04 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:09 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:14 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:19 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:24 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:29 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:34 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:39 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:44 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:49 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:54 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:08:59 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:04 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:09 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:14 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:19 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:24 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:29 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:34 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:39 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:44 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:49 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:09:54 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:00 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:05 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:10 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:15 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:20 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:25 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:30 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:35 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:40 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:45 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:50 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:10:55 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:00 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:05 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:10 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:15 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:20 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:25 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:30 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:35 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:40 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:45 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:50 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:11:55 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:44:51 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-01 12:44:52 | INFO | auth | Authentication successful
2025-12-01 12:44:52 | INFO | main | Authentication successful. Starting bot...
2025-12-01 12:44:52 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATAMOTORS', 'ICICIBANK', 'HDFCBANK', 'SBIN', 'POWERGRID', 'INFY', 'TCS', 'BPCL']
2025-12-01 12:44:52 | INFO | data_feed | Fetching instrument master data for 8 symbols...
2025-12-01 12:44:52 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-01 12:44:52 | INFO | data_feed | Resolved 16 instrument tokens
2025-12-01 12:44:52 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:44:53 | INFO | data_feed | WebSocket connected. Subscribing to 16 instruments
2025-12-01 12:44:57 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:45:02 | INFO | live | Monitoring... (waiting for data)
2025-12-01 12:45:07 | INFO | live | Monitoring... (waiting for data)
