2025-12-09 10:23:10 | INFO | live | Monitoring... NSE=₹161.83 BSE=₹161.85 Spread=₹0.02
2025-12-09 10:23:15 | INFO | live | Monitoring... NSE=₹257.97 BSE=₹258.10 Spread=₹0.13
2025-12-09 10:23:20 | INFO | live | Monitoring... NSE=₹257.93 BSE=₹258.10 Spread=₹0.17
2025-12-09 10:23:25 | INFO | live | Monitoring... NSE=₹257.92 BSE=₹258.10 Spread=₹0.18
2025-12-09 10:23:30 | INFO | live | Monitoring... NSE=₹257.90 BSE=₹258.10 Spread=₹0.20
2025-12-09 10:23:35 | INFO | live | Monitoring... NSE=₹258.02 BSE=₹257.90 Spread=₹0.12
2025-12-09 10:23:40 | INFO | live | Monitoring... NSE=₹258.02 BSE=₹257.90 Spread=₹0.12
2025-12-09 10:23:45 | INFO | live | Monitoring... NSE=₹258.02 BSE=₹257.90 Spread=₹0.12
2025-12-09 10:23:50 | INFO | live | Monitoring... NSE=₹258.02 BSE=₹257.90 Spread=₹0.12
2025-12-09 10:23:55 | INFO | live | Monitoring... NSE=₹258.06 BSE=₹257.90 Spread=₹0.16
2025-12-09 10:24:00 | INFO | live | Monitoring... NSE=₹258.02 BSE=₹257.90 Spread=₹0.12
2025-12-09 10:24:05 | INFO | live | Monitoring... NSE=₹161.72 BSE=₹161.60 Spread=₹0.12
2025-12-09 10:24:10 | INFO | live | Monitoring... NSE=₹161.77 BSE=₹161.65 Spread=₹0.12
2025-12-09 10:24:15 | INFO | live | Monitoring... NSE=₹161.80 BSE=₹161.65 Spread=₹0.15
2025-12-09 10:24:20 | INFO | live | Monitoring... NSE=₹258.14 BSE=₹258.10 Spread=₹0.04
2025-12-09 10:24:25 | INFO | live | Monitoring... (waiting for data)
2025-12-09 10:24:30 | INFO | live | Monitoring... NSE=₹161.80 BSE=₹161.75 Spread=₹0.05
2025-12-09 10:24:35 | INFO | live | Monitoring... NSE=₹258.03 BSE=₹258.15 Spread=₹0.12
2025-12-09 10:24:40 | INFO | live | Monitoring... NSE=₹161.78 BSE=₹161.80 Spread=₹0.02
2025-12-09 10:24:45 | INFO | live | Monitoring... NSE=₹161.78 BSE=₹161.80 Spread=₹0.02
2025-12-09 10:24:50 | INFO | live | Monitoring... NSE=₹258.13 BSE=₹258.15 Spread=₹0.02
2025-12-09 10:24:55 | INFO | live | Monitoring... NSE=₹258.06 BSE=₹258.15 Spread=₹0.09
2025-12-09 10:25:00 | INFO | live | Monitoring... NSE=₹161.82 BSE=₹161.80 Spread=₹0.02
2025-12-09 10:25:05 | INFO | live | Monitoring... NSE=₹258.12 BSE=₹258.25 Spread=₹0.13
2025-12-09 10:25:10 | INFO | live | Monitoring... NSE=₹258.05 BSE=₹258.25 Spread=₹0.20
2025-12-09 10:25:15 | INFO | live | Monitoring... NSE=₹258.10 BSE=₹258.25 Spread=₹0.15
2025-12-09 10:25:20 | INFO | live | Monitoring... NSE=₹161.74 BSE=₹161.75 Spread=₹0.01
2025-12-09 10:25:25 | INFO | live | Monitoring... NSE=₹257.89 BSE=₹258.00 Spread=₹0.11
2025-12-09 10:25:30 | INFO | live | Monitoring... NSE=₹161.75 BSE=₹161.65 Spread=₹0.10
2025-12-09 10:25:35 | INFO | live | Monitoring... NSE=₹161.75 BSE=₹161.65 Spread=₹0.10
2025-12-09 10:25:40 | INFO | live | Monitoring... NSE=₹257.94 BSE=₹258.00 Spread=₹0.06
2025-12-09 10:25:45 | INFO | live | Monitoring... NSE=₹257.88 BSE=₹258.00 Spread=₹0.12
2025-12-09 10:25:50 | INFO | live | Monitoring... NSE=₹257.92 BSE=₹258.00 Spread=₹0.08
2025-12-09 10:25:55 | INFO | live | Monitoring... NSE=₹257.94 BSE=₹257.85 Spread=₹0.09
2025-12-09 10:26:00 | INFO | live | Monitoring... NSE=₹257.88 BSE=₹257.85 Spread=₹0.03
2025-12-09 10:26:05 | INFO | live | Monitoring... NSE=₹161.75 BSE=₹161.65 Spread=₹0.10
2025-12-09 10:26:10 | INFO | live | Monitoring... NSE=₹257.77 BSE=₹257.85 Spread=₹0.08
2025-12-09 10:26:15 | INFO | live | Monitoring... NSE=₹257.77 BSE=₹257.85 Spread=₹0.08
2025-12-09 10:26:20 | INFO | live | Monitoring... NSE=₹161.75 BSE=₹161.65 Spread=₹0.10
2025-12-09 10:26:25 | INFO | live | Monitoring... NSE=₹257.81 BSE=₹257.65 Spread=₹0.16
2025-12-09 10:26:30 | INFO | live | Monitoring... NSE=₹257.81 BSE=₹257.65 Spread=₹0.16
2025-12-09 10:26:35 | INFO | live | Monitoring... NSE=₹257.81 BSE=₹257.65 Spread=₹0.16
2025-12-09 10:26:40 | INFO | live | Monitoring... NSE=₹257.81 BSE=₹257.65 Spread=₹0.16
2025-12-09 10:26:46 | INFO | live | Monitoring... NSE=₹257.90 BSE=₹257.85 Spread=₹0.05
2025-12-09 10:26:51 | INFO | live | Monitoring... NSE=₹161.77 BSE=₹161.85 Spread=₹0.08
2025-12-09 10:26:56 | INFO | live | Monitoring... NSE=₹257.86 BSE=₹257.85 Spread=₹0.01
2025-12-09 10:27:01 | INFO | live | Monitoring... NSE=₹257.86 BSE=₹257.90 Spread=₹0.04
2025-12-09 10:27:06 | INFO | live | Monitoring... NSE=₹257.85 BSE=₹257.90 Spread=₹0.05
2025-12-09 10:27:11 | INFO | live | Monitoring... NSE=₹257.81 BSE=₹257.85 Spread=₹0.04
