2025-12-05 09:03:08 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-05 09:03:09 | INFO | auth | Authentication successful
2025-12-05 09:03:09 | INFO | main | Authentication successful. Starting bot...
2025-12-05 09:03:09 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATAMOTORS', 'ICICIBANK', 'HDFCBANK', 'SBIN', 'POWERGRID', 'INFY', 'TCS', 'BPCL']
2025-12-05 09:03:09 | INFO | data_feed | Fetching instrument master data for 8 symbols...
2025-12-05 09:03:09 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-05 09:03:09 | INFO | data_feed | Resolved 16 instrument tokens
2025-12-05 09:03:09 | INFO | live | Monitoring... (waiting for data)
2025-12-05 09:03:10 | INFO | data_feed | WebSocket connected. Subscribing to 16 instruments
2025-12-05 09:03:14 | INFO | live | Monitoring... NSE=₹948.10 BSE=₹948.05 Spread=₹0.05
2025-12-05 09:03:19 | INFO | live | Monitoring... NSE=₹948.10 BSE=₹948.05 Spread=₹0.05
2025-12-05 09:03:24 | INFO | live | Monitoring... NSE=₹948.10 BSE=₹948.05 Spread=₹0.05
2025-12-05 09:03:29 | INFO | live | Monitoring... NSE=₹948.10 BSE=₹948.05 Spread=₹0.05
2025-12-05 09:03:34 | INFO | live | Monitoring... NSE=₹948.10 BSE=₹948.05 Spread=₹0.05
2025-12-05 09:43:44 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-05 09:43:44 | INFO | auth | Authentication successful
2025-12-05 09:43:44 | INFO | main | Authentication successful. Starting bot...
2025-12-05 09:43:44 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATAMOTORS', 'ICICIBANK', 'HDFCBANK', 'SBIN', 'POWERGRID', 'INFY', 'TCS', 'BPCL']
2025-12-05 09:43:44 | INFO | data_feed | Fetching instrument master data for 8 symbols...
2025-12-05 09:43:44 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-05 09:43:44 | INFO | data_feed | Resolved 16 instrument tokens
2025-12-05 09:43:44 | INFO | live | Monitoring... (waiting for data)
2025-12-05 09:43:44 | INFO | data_feed | WebSocket connected. Subscribing to 16 instruments
2025-12-05 09:43:49 | INFO | live | Monitoring... (waiting for data)
2025-12-05 09:43:54 | INFO | live | Monitoring... NSE=₹949.85 BSE=₹949.90 Spread=₹0.05
2025-12-05 09:43:59 | INFO | live | Monitoring... NSE=₹949.55 BSE=₹949.60 Spread=₹0.05
2025-12-05 09:44:04 | INFO | live | Monitoring... NSE=₹949.85 BSE=₹949.60 Spread=₹0.25
2025-12-05 09:44:09 | INFO | live | Monitoring... (waiting for data)
2025-12-05 09:44:14 | INFO | live | Monitoring... NSE=₹949.90 BSE=₹949.60 Spread=₹0.30
2025-12-05 09:44:19 | INFO | live | Monitoring... NSE=₹949.60 BSE=₹949.90 Spread=₹0.30
2025-12-05 09:44:24 | INFO | live | Monitoring... NSE=₹949.80 BSE=₹949.90 Spread=₹0.10
2025-12-05 09:44:29 | INFO | live | Monitoring... NSE=₹949.80 BSE=₹949.90 Spread=₹0.10
2025-12-05 09:44:34 | INFO | live | Monitoring... NSE=₹949.80 BSE=₹949.65 Spread=₹0.15
2025-12-05 09:44:39 | INFO | live | Monitoring... (waiting for data)
2025-12-05 09:44:44 | INFO | live | Monitoring... NSE=₹949.75 BSE=₹949.60 Spread=₹0.15
2025-12-05 09:44:49 | INFO | live | Monitoring... NSE=₹949.85 BSE=₹949.90 Spread=₹0.05
2025-12-05 09:44:54 | INFO | live | Monitoring... NSE=₹949.80 BSE=₹949.90 Spread=₹0.10
2025-12-05 09:44:59 | INFO | live | Monitoring... NSE=₹949.80 BSE=₹949.90 Spread=₹0.10
2025-12-05 09:45:04 | INFO | live | Monitoring... (waiting for data)
2025-12-05 09:45:09 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹949.90 Spread=₹0.10
2025-12-05 09:45:14 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹949.90 sell=BSE@₹950.30 qty=50
2025-12-05 09:45:14 | INFO | live | Monitoring... NSE=₹949.90 BSE=₹950.30 Spread=₹0.40
2025-12-05 09:45:15 | INFO | order_executor | Order placed NSE BUY SBIN qty=50 id=251205000125579
2025-12-05 09:45:15 | INFO | order_executor | Order placed BSE SELL SBIN qty=50 id=251205000125581
2025-12-05 09:45:16 | WARNING | order_executor | ⚠️ Trade INCOMPLETE: SBIN | Spread=₹0.40 | BUY: NSE (id=251205000125579, status=REJECTED, price=N/A) | SELL: BSE (id=251205000125581, status=REJECTED, price=N/A)
2025-12-05 09:45:16 | ERROR | order_executor | Failsafe triggered for SBIN: {'buy': {'result': {'order_id': '251205000125579', 'status': 'REJECTED', 'price': None}, 'leg': OrderLeg(exchange='NSE', symbol='SBIN', side='BUY', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}, 'sell': {'result': {'order_id': '251205000125581', 'status': 'REJECTED', 'price': None}, 'leg': OrderLeg(exchange='BSE', symbol='SBIN', side='SELL', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}}
2025-12-05 09:45:19 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹950.30 Spread=₹0.30
2025-12-05 09:45:22 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.95 sell=BSE@₹950.30 qty=50
2025-12-05 09:45:22 | INFO | order_executor | Order placed NSE BUY SBIN qty=50 id=251205000126004
2025-12-05 09:45:22 | INFO | order_executor | Order placed BSE SELL SBIN qty=50 id=251205000126005
2025-12-05 09:45:24 | WARNING | order_executor | ⚠️ Trade INCOMPLETE: SBIN | Spread=₹0.35 | BUY: NSE (id=251205000126004, status=REJECTED, price=N/A) | SELL: BSE (id=251205000126005, status=REJECTED, price=N/A)
2025-12-05 09:45:24 | ERROR | order_executor | Failsafe triggered for SBIN: {'buy': {'result': {'order_id': '251205000126004', 'status': 'REJECTED', 'price': None}, 'leg': OrderLeg(exchange='NSE', symbol='SBIN', side='BUY', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}, 'sell': {'result': {'order_id': '251205000126005', 'status': 'REJECTED', 'price': None}, 'leg': OrderLeg(exchange='BSE', symbol='SBIN', side='SELL', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}}
2025-12-05 09:45:24 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.95 sell=BSE@₹950.30 qty=50
2025-12-05 09:45:24 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:24 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.95 sell=BSE@₹950.30 qty=50
2025-12-05 09:45:24 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:24 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹950.30 Spread=₹0.30
2025-12-05 09:45:29 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.95 sell=BSE@₹950.30 qty=50
2025-12-05 09:45:29 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:29 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹950.30 Spread=₹0.30
2025-12-05 09:45:30 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.95 sell=BSE@₹950.30 qty=50
2025-12-05 09:45:30 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:30 | INFO | main | Signal SBIN spread=0.45 buy=NSE@₹949.95 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:30 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:30 | INFO | main | Signal SBIN spread=0.45 buy=NSE@₹949.95 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:30 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:31 | INFO | main | Signal SBIN spread=0.45 buy=NSE@₹949.95 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:31 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:31 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:31 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:31 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:31 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:31 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:31 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:32 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:32 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:34 | INFO | live | Monitoring... NSE=₹949.95 BSE=₹950.40 Spread=₹0.45
2025-12-05 09:45:39 | INFO | live | Monitoring... NSE=₹949.95 BSE=₹950.40 Spread=₹0.45
2025-12-05 09:45:44 | INFO | live | Monitoring... NSE=₹949.95 BSE=₹950.40 Spread=₹0.45
2025-12-05 09:45:46 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:46 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:47 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:47 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:47 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:47 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:47 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:47 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:47 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:47 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:48 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:48 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:48 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:48 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:48 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:48 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:49 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:49 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:49 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:49 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:49 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹950.40 Spread=₹0.40
2025-12-05 09:45:49 | INFO | main | Signal SBIN spread=0.40 buy=NSE@₹950.00 sell=BSE@₹950.40 qty=50
2025-12-05 09:45:49 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:45:54 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹949.80 Spread=₹0.20
2025-12-05 09:54:47 | INFO | main | Authenticating with Angel One SmartAPI...
2025-12-05 09:54:47 | INFO | auth | Authentication successful
2025-12-05 09:54:48 | INFO | main | Authentication successful. Starting bot...
2025-12-05 09:54:48 | INFO | data_feed | Starting Angel One WebSocket feed for ['TATAMOTORS', 'ICICIBANK', 'HDFCBANK', 'SBIN', 'POWERGRID', 'INFY', 'TCS', 'BPCL', 'TATASTEEL']
2025-12-05 09:54:48 | INFO | data_feed | Fetching instrument master data for 9 symbols...
2025-12-05 09:54:48 | WARNING | data_feed | Could not fetch from master data. Using manual token lookup.
2025-12-05 09:54:48 | INFO | data_feed | Resolved 18 instrument tokens
2025-12-05 09:54:48 | INFO | live | Monitoring... (waiting for data)
2025-12-05 09:54:48 | INFO | data_feed | WebSocket connected. Subscribing to 18 instruments
2025-12-05 09:54:53 | INFO | live | Monitoring... NSE=₹165.30 BSE=₹165.40 Spread=₹0.10
2025-12-05 09:54:58 | INFO | live | Monitoring... NSE=₹165.30 BSE=₹165.40 Spread=₹0.10
2025-12-05 09:55:03 | INFO | live | Monitoring... NSE=₹165.30 BSE=₹165.40 Spread=₹0.10
2025-12-05 09:55:08 | INFO | live | Monitoring... NSE=₹165.26 BSE=₹165.40 Spread=₹0.14
2025-12-05 09:55:13 | INFO | live | Monitoring... NSE=₹165.30 BSE=₹165.40 Spread=₹0.10
2025-12-05 09:55:18 | INFO | live | Monitoring... NSE=₹165.30 BSE=₹165.40 Spread=₹0.10
2025-12-05 09:55:23 | INFO | live | Monitoring... NSE=₹165.27 BSE=₹165.40 Spread=₹0.13
2025-12-05 09:55:28 | INFO | live | Monitoring... NSE=₹165.28 BSE=₹165.40 Spread=₹0.12
2025-12-05 09:55:33 | INFO | live | Monitoring... NSE=₹165.30 BSE=₹165.25 Spread=₹0.05
2025-12-05 09:55:38 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹950.05 Spread=₹0.05
2025-12-05 09:55:43 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹950.05 Spread=₹0.05
2025-12-05 09:55:48 | INFO | live | Monitoring... NSE=₹165.30 BSE=₹165.25 Spread=₹0.05
2025-12-05 09:55:53 | INFO | live | Monitoring... NSE=₹949.90 BSE=₹949.80 Spread=₹0.10
2025-12-05 09:55:58 | INFO | live | Monitoring... NSE=₹949.90 BSE=₹949.80 Spread=₹0.10
2025-12-05 09:56:03 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹949.80 Spread=₹0.20
2025-12-05 09:56:08 | INFO | live | Monitoring... NSE=₹949.90 BSE=₹950.00 Spread=₹0.10
2025-12-05 09:56:13 | INFO | live | Monitoring... NSE=₹949.90 BSE=₹949.70 Spread=₹0.20
2025-12-05 09:56:18 | INFO | live | Monitoring... NSE=₹165.30 BSE=₹165.25 Spread=₹0.05
2025-12-05 09:56:23 | INFO | live | Monitoring... NSE=₹949.70 BSE=₹949.80 Spread=₹0.10
2025-12-05 09:56:28 | INFO | live | Monitoring... NSE=₹165.24 BSE=₹165.35 Spread=₹0.11
2025-12-05 09:56:33 | INFO | live | Monitoring... NSE=₹165.25 BSE=₹165.35 Spread=₹0.10
2025-12-05 09:56:38 | INFO | live | Monitoring... NSE=₹165.26 BSE=₹165.35 Spread=₹0.09
2025-12-05 09:56:43 | INFO | live | Monitoring... NSE=₹949.95 BSE=₹950.40 Spread=₹0.45
2025-12-05 09:56:48 | INFO | live | Monitoring... NSE=₹949.90 BSE=₹950.40 Spread=₹0.50
2025-12-05 09:56:53 | INFO | live | Monitoring... NSE=₹949.90 BSE=₹950.40 Spread=₹0.50
2025-12-05 09:56:58 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹950.40 Spread=₹0.40
2025-12-05 09:57:03 | INFO | live | Monitoring... NSE=₹950.00 BSE=₹950.40 Spread=₹0.40
2025-12-05 09:57:08 | INFO | live | Monitoring... NSE=₹949.95 BSE=₹950.40 Spread=₹0.45
2025-12-05 09:57:13 | INFO | live | Monitoring... NSE=₹949.95 BSE=₹950.00 Spread=₹0.05
2025-12-05 09:57:18 | INFO | live | Monitoring... NSE=₹165.26 BSE=₹165.35 Spread=₹0.09
2025-12-05 09:57:23 | INFO | live | Monitoring... NSE=₹165.33 BSE=₹165.40 Spread=₹0.07
2025-12-05 09:57:28 | INFO | live | Monitoring... NSE=₹165.18 BSE=₹165.20 Spread=₹0.02
2025-12-05 09:57:33 | INFO | live | Monitoring... NSE=₹165.18 BSE=₹165.25 Spread=₹0.07
2025-12-05 09:57:38 | INFO | live | Monitoring... NSE=₹165.15 BSE=₹165.25 Spread=₹0.10
2025-12-05 09:57:43 | INFO | live | Monitoring... NSE=₹949.75 BSE=₹949.95 Spread=₹0.20
2025-12-05 09:57:48 | INFO | live | Monitoring... NSE=₹165.18 BSE=₹165.25 Spread=₹0.07
2025-12-05 09:57:53 | INFO | live | Monitoring... NSE=₹165.15 BSE=₹165.25 Spread=₹0.10
2025-12-05 09:57:58 | INFO | live | Monitoring... NSE=₹949.55 BSE=₹949.75 Spread=₹0.20
2025-12-05 09:58:03 | INFO | live | Monitoring... NSE=₹949.55 BSE=₹949.75 Spread=₹0.20
2025-12-05 09:58:08 | INFO | live | Monitoring... NSE=₹949.60 BSE=₹949.80 Spread=₹0.20
2025-12-05 09:58:13 | INFO | live | Monitoring... NSE=₹165.19 BSE=₹165.10 Spread=₹0.09
2025-12-05 09:58:18 | INFO | live | Monitoring... NSE=₹165.20 BSE=₹165.10 Spread=₹0.10
2025-12-05 09:58:23 | INFO | live | Monitoring... NSE=₹949.65 BSE=₹949.95 Spread=₹0.30
2025-12-05 09:58:28 | INFO | live | Monitoring... NSE=₹949.75 BSE=₹949.95 Spread=₹0.20
2025-12-05 09:58:33 | INFO | live | Monitoring... NSE=₹949.65 BSE=₹949.95 Spread=₹0.30
2025-12-05 09:58:38 | INFO | live | Monitoring... NSE=₹949.85 BSE=₹949.95 Spread=₹0.10
2025-12-05 09:58:42 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:42 | INFO | order_executor | Order placed NSE BUY SBIN qty=50 id=251205000160274
2025-12-05 09:58:42 | INFO | order_executor | Order placed BSE SELL SBIN qty=50 id=251205000160273
2025-12-05 09:58:43 | INFO | live | Monitoring... NSE=₹949.60 BSE=₹949.95 Spread=₹0.35
2025-12-05 09:58:44 | WARNING | order_executor | ⚠️ Trade INCOMPLETE: SBIN | Spread=₹0.35 | BUY: NSE (id=251205000160274, status=REJECTED, price=N/A) | SELL: BSE (id=251205000160273, status=REJECTED, price=N/A)
2025-12-05 09:58:44 | ERROR | order_executor | Failsafe triggered for SBIN: {'buy': {'result': {'order_id': '251205000160274', 'status': 'REJECTED', 'price': None}, 'leg': OrderLeg(exchange='NSE', symbol='SBIN', side='BUY', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}, 'sell': {'result': {'order_id': '251205000160273', 'status': 'REJECTED', 'price': None}, 'leg': OrderLeg(exchange='BSE', symbol='SBIN', side='SELL', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}}
2025-12-05 09:58:44 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:44 | INFO | order_executor | Order placed NSE BUY SBIN qty=50 id=251205000160341
2025-12-05 09:58:44 | INFO | order_executor | Order placed BSE SELL SBIN qty=50 id=251205000160342
2025-12-05 09:58:46 | WARNING | order_executor | ⚠️ Trade INCOMPLETE: SBIN | Spread=₹0.35 | BUY: NSE (id=251205000160341, status=REJECTED, price=N/A) | SELL: BSE (id=251205000160342, status=REJECTED, price=N/A)
2025-12-05 09:58:46 | ERROR | order_executor | Failsafe triggered for SBIN: {'buy': {'result': {'order_id': '251205000160341', 'status': 'REJECTED', 'price': None}, 'leg': OrderLeg(exchange='NSE', symbol='SBIN', side='BUY', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}, 'sell': {'result': {'order_id': '251205000160342', 'status': 'REJECTED', 'price': None}, 'leg': OrderLeg(exchange='BSE', symbol='SBIN', side='SELL', quantity=50, order_type='MARKET', product='INTRADAY', validity='IOC', price=0.0, trigger_price=0.0)}}
2025-12-05 09:58:46 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:58:46 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:58:46 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:58:46 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:58:46 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:58:46 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:46 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:58:48 | INFO | live | Monitoring... NSE=₹949.60 BSE=₹949.95 Spread=₹0.35
2025-12-05 09:58:49 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:49 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:58:49 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:49 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:58:50 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:50 | ERROR | safety | Too many failed fills; blocking new trades
2025-12-05 09:58:50 | INFO | main | Signal SBIN spread=0.35 buy=NSE@₹949.60 sell=BSE@₹949.95 qty=50
2025-12-05 09:58:50 | ERROR | safety | Too many failed fills; blocking new trades
